Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter
20972,devilline,Noun,"A monoclinic-prismatic mineral containing calcium, copper, hydrogen, oxygen, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
21085,devitoite,Noun,"A triclinic mineral containing barium, iron, phosphate, carbonate and silicate.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
21380,dewindtite,Noun,"An orthorhombic-dipyramidal mineral containing hydrogen, lead, oxygen, phosphorus, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
22001,diadochite,Noun,A phosphosulfate mineral with a greenish-yellow to brown colour., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
22321,diallage,Noun,A green form of pyroxene., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
22383,dialogite,Noun,Rhodochrosite., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
22744,diaoyudaoite,Noun,"A hexagonal-dihexagonal dipyramidal mineral containing aluminum, oxygen, and sodium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
22802,diaphaneity,Noun,transparency, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
22855,diaphorite,Noun,"A monoclinic-prismatic mineral containing antimony, lead, silver, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
23826,dichroite,Noun,Iolite., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
23991,dickinsonite,Noun,"A monoclinic-domatic mineral containing aluminum, calcium, hydrogen, iron, lithium, manganese, oxygen, phosphorus, potassium, and sodium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
23996,dickite,Noun,"A phyllosilicate clay mineral chemically composed of aluminium, silicon, hydrogen and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24060,dickthomssenite,Noun,"A monoclinic-prismatic light golden brown mineral containing hydrogen, magnesium, oxygen, and vanadium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24755,dienerite,Noun,An isometric-hextetrahedral gray white mineral containing arsenic and nickel., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24991,dietrichite,Noun,"A monoclinic-prismatic mineral containing aluminum, hydrogen, iron, manganese, oxygen, sulfur, and zinc.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
24995,dietzeite,Noun,"A monoclinic-prismatic golden yellow mineral containing calcium, chromium, iodine, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
25491,digenite,Noun,A black to dark blue opaque copper sulfide mineral with chemical formula Cu9S5., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27295,dimorphite,Noun,An orthorhombic-dipyramidal orange mineral containing arsenic and sulfur., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27590,dinite,Noun,An orthorhombic-disphenoidal mineral containing carbon and hydrogen., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27946,diomignite,Noun,"A tetragonal-ditetragonal pyramidal colorless mineral containing boron, lithium, and oxygen.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
27966,diopside,Noun,"A monoclinic pyroxene mineral, a magnesium calcium silicate with the chemical formula CaMgSi2O6, found in igneous and metamorphic rocks.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
28029,diosmectite,Noun,A mixed silicate or aluminium and magnesium that is used as an intestinal adsorbent, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
35118,disthene,Noun,Kyanite., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
36105,ditroite,Noun,"An igneous rock composed of orthoclase, elaeolite, and sodalite.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
36124,dittmarite,Noun,"An orthorhombic-pyramidal colorless mineral containing hydrogen, magnesium, nitrogen, oxygen, and phosphorus.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
36953,dixenite,Noun,"A trigonal-pyramidal mineral containing arsenic, copper, hydrogen, iron, manganese, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
37066,djerfisherite,Noun,"An isometric-hexoctahedral mineral containing chlorine, copper, iron, nickel, potassium, sodium, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
37089,djurleite,Noun,A copper sulfide mineral with the chemical formula Cu31S16., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
37096,dmisteinbergite,Noun,"A colourless mineral, a hexagonal polymorph of anorthite, with the chemical formula CaAl2Si2O8", mineralogy,"2001, William Alexander Deer, Robert Andrew Howie, J. Zussman, Rock-forming Minerals: Feldspars (volume 4A, page 654) Chesnokov et al. also reported from the same locality dmisteinbergite, a natural hexagonal polymorph of anorthite.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
38873,dolerophanite,Noun,"A monoclinic-prismatic mineral containing copper, oxygen, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
39100,dolomite,Noun,"A saline evaporite consisting of a mixed calcium and magnesium carbonate, with the chemical formula CaMg(CO3)2; it also exists as the rock dolostone", mineralogy,Synonym: magnesian limestone,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
39121,doloresite,Noun,"A monoclinic-prismatic mineral containing hydrogen, oxygen, and vanadium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
39383,domeykite,Noun,"An isometric copper arsenide mineral, Cu3As.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
39560,domite,Noun,A greyish variety of trachyte., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
39749,donharrisite,Noun,"A monoclinic-prismatic brown mineral containing mercury, nickel, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
39874,donpeacorite,Noun,"An orthorhombic-dipyramidal yellow orange mineral containing magnesium, manganese, oxygen, and silicon.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
