Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar
25578,ironwork,Noun,An ironworks.," countable, dated",,False,False,False,False
27206,isomeride,Noun,An isomer.," chemistry, dated",,False,False,False,False
28360,ivoroid,Noun,A synthetic celluloid plastic resembling ivory., dated,,False,False,False,False
28388,ivorytype,Noun,"A picture produced by superposing a tinted translucent print upon a stronger print, so as to give the effect of a photograph in natural colours."," photography, dated",,False,False,False,False
109,dab,Noun,Fingerprint.," chiefly in the plural, dated, Britain",,False,False,False,False
176,daccha,Noun,cannabis H, dated,"Rider Haggard, King Solomon's Mines, Chapter 4 [] the Kafirs a few yards off sucking their intoxicating daccha from a pipe of which the mouthpiece was made of the horn of an eland []",False,False,False,False
208,dacoitage,Noun,dacoity, dated,,False,False,False,False
385,daddy-o,Noun,Term of address for a man," informal, dated","1956, Nervous Norvus, ""Transfusion"" (lyrics) Hey daddy-o, make that type O huh? That a boy. 1959, Jerry Leiber and Mike Stoller, ""Charlie Brown"" (lyrics) He walks in the classroom cool and slow, / Who calls the English teacher Daddy-O? 1959, Norman Mailer, Advertisements for Myself But Godot also means 'ot Dog, or the dog who is hot, and it means God-O, God as the female principle, just as Daddy-O in Hip means father who has failed, []",False,False,False,False
1131,dame,Noun,A woman," US, dated, informal, slightly derogatory","1903 March, Guy Wetmore Carryl, The Lieutenant-Governor: A Novel, Boston, Mass.; New York, N.Y.: Houghton, Mifflin and Company; Riverside Press, Cambridge [Mass.], OCLC 2223403, page 37:I can see that would be the kind of a chap that the dames would stand for everlastingly. 1949, Oscar Hammerstein II (lyrics), Richard Rodgers (music), There Is Nothing Like a Dame, in South Pacific; published in Oscar Hammerstein II (lyrics); Oscar Hammerstein II and Joshua Logan (book); Albert Sirmay [i.e., Albert Szirmai] (vocal score editor), South Pacific. A Musical Play. [...] Adapted from James A. Micheners [...] Tales of the South Pacific [...], New York, N.Y.: Williamson Music; Milwaukee, Wis.: Hal Leonard, 1949, OCLC 497235024, page 30:There is nothin' like a dame / Nothin' in the world. / There is nothin' you can name / That is anythin' like a dame.",False,False,False,False
1440,dance card,Noun,A card on which a young woman listed those she had agreed to dance with, dated,"How could your dance card be full already, Martha? You just got here.",False,False,False,False
1465,dance on a rope,Verb,To be hanged., dated,,False,False,False,False
1466,dance on nothing,Verb,To be hanged., dated,,False,False,False,False
1614,dandiprat,Noun,"An insignificant or contemptible person 1848, Henry Norman Hudson, Lectures on Shakespeare - Volume 1, page 41:It seems but proper, every way, therefore, for us to know, that this king of poets and philosophers was also among the best of men; that, in his character, modesty and humility kept pace with greatness; and that he was as much better than the beau-ideals of our intellectual popinjays and dandiprats, as those beau-ideals were prouder than he.", dated,,False,False,False,False
1734,dangerous,Adjective,"In a condition of danger, as from illness; threatened with death."," colloquial, dated",,False,False,False,False
1750,dangle,Verb,To trail or follow around," intransitive, dated","1833, Miller's Modern Acting Drama To dangle at the elbow of a wench who can't make up her mind to accept the common title of wife, till she has been courted a certain number of weeks so the old blinker, her father, says.",False,False,False,False
1754,dangle after,Verb,To hang upon importunately; to court the favour of; to beset, dated,"Jonathan Swift The Presbyterians, and other fanatics that dangle after them, are well inclined to pull down the present establishment.",False,False,False,False
