Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units
286,US survey acre,Noun,"Unit of measure for areas, defined as 43,560 square feet,[1] or 4,046.8564224 square meters",,A square mile has 640 acres.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
5192,kilofoot,Noun,"A unit of measure for length, equal to one thousand feet.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
8975,koku,Noun,"A unit of measure in feudal Japan, the amount of rice needed to feed one person for a year.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
190,sabin,Noun,A unit of measurement that measures a material's absorbance of sound, acoustics,"A material that is 1 square meter in size that can absorb 100% of sound has a value of one metric sabin. 2012, Rupert Christiansen, Quiet, Please, Literary Review, Sep 2012: Sabine gave his name to the sabin, the standard unit that is equal to the sound absorption of a square foot of a perfectly absorbing surface such as an open window.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
15016,seah,Noun,"A former Hebrew unit of dry volume, about 7.7L or 7 quarts.", historical units of measure,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
15547,seat-mile,Noun,"A unit of measure of passenger carrying capacity, equal to the number of seats available multiplied by the number of miles flown.", transport,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
62750,split,Noun,A unit of measure used for champagne or other spirits: 18.75 centiliter or one quarter of a standard .75 liter bottle,,"Commercially comparable to 1/20th (US) gallon, which is 1/2 of a fifth.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
66047,square,Noun,"A unit of measurement of area, equal to a 10 foot by 10 foot square, i.e", real estate,"100 square feet or roughly 9.3 square metres. Used in real estate for the size of a house or its rooms, though progressively being replaced by square metres in metric countries such as Australia. 2006: Just as the basic unit of real estate measurement across the world is the square ... Macquarie Bank (Australia), press release Macquarie releases Real Estate Market Outlook 2006 - ""The World Squared"", 21 June 2006 [2] 2007: The house is very large and open and boasts 39 squares of living space plus over 13 squares of decking area on 3 sides and 17 squares of garage and workshop downstairs. Your Estate advertisement for Grindelwald Tasmania [3]",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
96243,sverdrup,Noun,"A unit of measure of volume transport, used in oceanography.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
5313,fathom,Noun,An English unit of length for water depth notionally based upon the width of grown man's outstretched arms but standardized as 6 feet (about 1.8m)," units of measure, now usually nautical","Synonyms: brace, stade (obsolete), orguia (Greek) 1983, Richard Ellis, The Book of Sharks, Knopf, ISBN, page 7:At fifty fathoms, the waters of the Southern Ocean are dark blue.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,True
