0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
disease,,,,,,,,,,,,,,,,,,51544,False,,False,,False,,False,False,False,,False,False,False,False,Any disease associated with dystroglycan.,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dystroglycanopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,204,False,,False,,False,,False,False,False,,False,False,False,False,"A fatal nervous disease affecting cattle that have browsed on the leaves or fruit of cycads, especially those of the genus Zamia, and leading to irreversible paralysis of the hind legs because of the degeneration of the spinal cord.",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zamia staggers,False,False,False
disease,,,,,,,,,,,,,,,,,,1304,False,,False,,False,,False,False,False,,False,False,False,False,The disease caused by the Zika virus,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"2016 January 13, Jessica Glenza, First case of tropical zika virus linked to serious birth defect found in Texas, in The Guardian[1]:Dr Umair A Shah, executive director of the Harris County department of public health, said, Its probably not a case of if we get zika in our native mosquitoes, its probably a case of when we get zika in our native mosquitoes.",False,,zika,False,False,False
disease,,,,,,,,,,,,,,,,,,2555,False,,False,,False,,False,False,False,,False,False,False,False,"An animal disease, such as rabies or anthrax, that can be transmitted to humans",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"2013 January 1, Katie L. Burke, Ecological Dependency, in American Scientist[1], volume 101, number 1, page 64:In his first book since the 2008 essay collection Natural Acts: A Sidelong View of Science and Nature, David Quammen looks at the natural world from yet another angle: the search for the next human pandemic, what epidemiologists call the next big one. His quest leads him around the world to study a variety of suspect zoonosesanimal-hosted pathogens that infect humans.",False,,zoonosis,False,False,False
disease,,,,,,,,,,,,,,,,,,2840,False,,False,,False,,False,False,False,,False,False,False,False,The disease called herpes zoster (from the typically beltlike pattern of its rash); shingles.,True," uncountable, medicine",False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zoster,False,False,False
disease,,,,,,,,,,,,,,,,,,3355,False,,False,,False,,False,False,False,,False,False,False,False,A zymotic disease.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zymosis,False,False,False
eye,disease,,,,,,,,,,,,,,,,,2907,False,,False,,False,,False,False,False,,False,False,False,False,eye disease,True,,False,False,False,False,False,False,False,False,False,,eye disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,oculopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,3244,False,,False,,False,,False,False,False,,False,False,False,False,Any disease that affects the teeth,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,odontopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,5671,False,,False,,False,,False,False,False,,False,False,False,False,Any disease due to the presence of a oligodendroglioma,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,oligodendrogliopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,5672,False,,False,,False,,False,False,False,,False,False,False,False,Any disease that affects the oligodendroglion,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,oligodendrogliosis,False,False,False
