Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,field,10,11,12,13,14,15,16,17
2347,zoogeography,Noun,The scientific study of the geographical distribution of animal species.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
2725,zootechny,Noun,The science and technology of animal husbandry,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science and technology,,science,and,technology,,,,,,,,True,,,,,,,,
3361,zymotechnics,Noun,The science or technology of fermentation.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science or technology,,science,or,technology,,,,,,,,True,,,,,,,,
1966,ocean-lore,Noun,"The teaching, knowledge, study, or science of the ocean",,"1862, The Living Age...-Volume 74: The tide-waves, whispering evermore To rocks and sands the ocean-lore. 1892, George Francis Savage-Armstrong, A Garland from Greece - Page 40: [...] soul she brought Strange gifts from the great deep; and more and more She seemed to love him, and with rapture taught The treasured secrets of her ocean-lore; Till earthy fancies in his heart of clay Began at last to move with sterner sway. 1919, Clara Catherine Prince, American Poetry Magazine - Page 130: Faintly above the ocean's roar Mermaids are ringing phantom bells, Fragments of buried ocean-lore Echo in hearts of singing-shells.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,"teaching , knowledge , study , or science",,teaching,",",knowledge,",",study,",",or,science,,,True,,,,,,,,
2022,oceanography,Noun,The exploration and scientific study of the oceans and ocean floor.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,exploration and study,,exploration,and,study,,,,,,,,True,,,,,,,,
3440,oenology,Noun,The scientific study of wines and winemaking,,"Even though I can't drink wine, I can still study oenology and enjoy knowing about the great wines of the world.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
5477,olfactology,Noun,The chemical study of smell.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,chemical study,,chemical,study,,,,,,,,,True,,,,,,,,
5488,olfactometry,Noun,The study and measurement of smells.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study and measurement,,study,and,measurement,,,,,,,,True,,,,,,,,
5621,oligochaetology,Noun,The scientific study of earthworms.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
5701,oligodynamics,Noun,The study and use of oligodynamic materials,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study and use,,study,and,use,,,,,,,,True,,,,,,,,
10400,optogenetics,Noun,A science that combines optics and genetics to probe neural circuits, genetics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
10430,optometry,Noun,The art and science of vision and eye care.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,art and science,,art,and,science,,,,,,,,True,,,,,,,,
10444,optospintronics,Noun,"The (study of the) interaction of light with spin polarization (spintronics) 2016, I", physics,"Lorite, Y. Kumar, P. Esquinazi, S. Friedlnder, A. Pppl, T. Michalsky, J. Meijer, M. Grundmann, T. Meyer, I. Estrela-Lopis, Photo-enhanced magnetization in Fe-doped ZnO nanowires, in arXiv[1]:An emerging branch of electronics, the optospintronics, would be highly boosted if the control of magnetic order by light is implemented in magnetic semiconductors nanostructures being compatible with the actual technology.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
10554,oral history,Noun,"The collection and study of historical information about individuals, families, important events, or everyday life using audiotapes, videotapes, or transcriptions of planned interviews.", historiography,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,collection and study,,collection,and,study,,,,,,,,True,,,,,,,,
12217,origami,Noun,The materials science technology that applies the art of origami to products., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,materials science technology,,materials,science,technology,,,,,,,,True,,,,,,,,
12218,origami,Noun,The materials science that studies origami applications in various material., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,materials science,,materials,science,,,,,,,,,True,,,,,,,,
12514,ornithophaenology,Noun,The scientific study of the migration of birds[1],,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
12618,orography,Noun,"the scientific study, or a physical description of mountains 1846, Joseph Emerson Worcester, A universal and critical dictionary of the English language: to which are added Walker's Key to the pronunciation of classical and Scripture proper names, much enlarged and improved, and a pronouncing vocabulary of modern geographical names[1], Boston: Wilkins, Carter, and Company, published 1849, page 501:Orography: A description of mountains", geomorphology,"1853, Edward Hitchcock, The Geology of the Globe, in Outline of the Geology of the Globe and of the United States in Particular with Sketches of Characteristic American Fossils.[2], Boston: Phillips, Sampson Company, page 10:A knowledge of the Hydrography of a country aids as much in determining its geology as does its Orography, that is, a description of its mountains.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,"study , or",,study,",",or,,,,,,,,True,,,,,,,,
13303,orthopterology,Noun,The scientific study of the Orthoptera.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
13308,orthoptics,Noun,The study and treatment of muscular irregularities of the eye.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study and treatment,,study,and,treatment,,,,,,,,True,,,,,,,,
13741,osmics,Noun,The scientific study of smells.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
13803,osmology,Noun,The scientific study of smells,,"2002, Constance Classen, Aroma: The Cultural History of Smell:Let us now consider an African osmologyspecifically, the system of olfactory classification of the Serer Ndut of Senegal.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
13948,osphresiology,Noun,The scientific study of smells.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
14133,osteoarchaeology,Noun,The scientific study of human remains from archaeological sites.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
14355,osteology,Noun,The scientific study of the morphology and pathology of bones., anatomy,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
14620,ostracodology,Noun,The scientific study of ostracods.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
14880,otoacoustics,Noun,The science studying otoacoustic sounds.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
7588,weights and measures,Noun,"The science and regulation of standards for the quantification of size, weight, temperature, etc.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science and regulation,,science,and,regulation,,,,,,,,True,,,,,,,,
9129,whalelore,Noun,"The knowledge, study, or science of whales",,"1864, The North British review, page 300:Member of the Danish Rigsdag, the king's sheriff in Faroe, a man of the simplest manners and most varied knowledge and intelligence, great in whalelore and fowllore, strong in deep- sea fishing, a great gatherer of strange over-sea waifs, [] 1960, Michael Williams, Commonweal, volume 72, page 235:A whale of a whale adventure on one of the few sailing vessels still occasionally in use. The author has packed standard ingredients into this story, including a fiendish captain, detailed information on whalelore and modern whaling methods. 1973, John Wood Campbell, Analog Science Fiction/Science Fact, volume 92:But his pretense to whalelore didn't even have an aficionado's sincerity. Grey didn't like him. 1973, Analog science fiction/science fact, volume 92, number 1-3, page 32:But his pretense to whalelore didn't even have an aficionado's sincerity. 1987, Udo Fries, The Structure of texts, page 213:The project itself, in short, generates the need for figuration, itself compactly figured in the Swiss Army knife...in the amount of whalelore that might be considered, but there turns out to be no inherent limit to the number of cognitive strategies for knowledge about whalelore that might be tested.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,"knowledge , study , or science",,knowledge,",",study,",",or,science,,,,,True,,,,,,,,
18315,wordlore,Noun,"The science, study, or knowledge of words", uncommon,"1910, Ruth Sawyer, Poet lore: Morris mastered the secrets of English wordlore as much better than Shakespeare as the manifold development of the science of language (speechlore) natually enabled him to do. 1989, American Psychological Association, Psyc books: Volume 2: Alcohol wordlore and folklore: Being a compendium of linguistic and social fact and fantasy associated with the use []",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,"science , study , or knowledge",,science,",",study,",",or,knowledge,,,,,True,,,,,,,,
2585,bacteriology,Noun,"The scientific study of bacteria, especially in relation to disease and agriculture."," biology, microbiology",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
10317,batology,Noun,"The scientific study of plants in the genus Rubus, commonly known as brambles", botany,"1905, Berthold Seemann (editor), Journal of Botany: British and Foreign[1], volume 43, page 202: [] more than another that has always been clearly recognized by British botanists, it is R. leucostachys, in spite of the various forms, which, before they were detected as hybrids, were often a puzzle to our predecessors in British batology. 1999, The Naturalist, Volumes 124-127, page 112, Further knowledge of Rubus plant geography is steadily emerging, particular[ly] as co-workers such as D. Grant and T. Schofield are also contributing substantially to Yorkshire batology. 2005, Lisa Robertson, Rubus Armeniacus: A Common Architectural Decorative Motif in the Temperate Mesophytic Region, in Occasional Work and Seven Walks from the Office for Soft Architecture, page 125, In Species Plantarum, in 1753, Linnaeus identified two European species of Rubus within the large five-petaled family Rosa, thus beginning one of taxonomys largest studies batology.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
