Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature
1853,Manzonian,Adjective,"Of, pertaining to, or in the style of Alessandro Manzoni (17851873), Italian poet and novelist.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1854,Manzonian,Noun,"A follower of Alessandro Manzoni, or one who writes in his style.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
854,nameplay,Noun,A play on words involving a person's name., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3879,nature faker,Noun,A nature writer who misrepresents animals as having thoughts and feelings similar to those of humans.," literature, derogatory",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6706,neogothic,Adjective,Of or relating to a more recent iteration of a Gothic style (the Gothic Revival).," architecture, literature",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13890,noble savage,Noun,A stock character embodying the concept of an idealized indigene or outsider who has not been corrupted by civilization and therefore symbolizes humanity's innate goodness., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18425,nondetective,Adjective,Not involving a detective (as many mystery novels do), literature,"2000, David Lehman, The perfect murder: a study in detection The closest character to Dupin in Poe's nondetective fiction is Roderick Usher in ""The Fall of the House of Usher,"" that gothic nightmare of decadence...",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24494,nonsense,Noun,"A type of poetry that contains strange or surreal ideas, as, for example, that written by Edward Lear.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25749,nontragic,Adjective,Not tragic., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28710,nouveau roman,Noun,A type of 1950s French novel that diverged from classical literary genres., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28750,novelette,Noun,A short novel, literature,"[from 18th c.] Synonym: novella Coordinate terms: short story, novella, novel 2016 November 30, Adam Roberts, The best SF and fantasy books of 2016, in The Guardian[1]:Best novella was Nnedi Okorafors African-flavoured space opera Binti (Tor), while best novelette was Folding Beijing by Hao Jingfang, translated by Ken Liu.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28765,novelism,Noun,The dominance of the novel as a literary form.," uncountable, literature",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1625,Liebestod,Noun,An aria or duet performed in opera marking the suicide of lovers; a suicide," music, literature","1979, Angela Carter, The Company of Wolves, The Bloody Chamber, Vintage 2006, p. 138: She saw how his jaw began to slaver and the room was full of the clamour of the forest's Liebestod but the wise child never flinched []",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
87,Yahoo,Noun,"One of a race of brutes, who look and act similar to men, inhabiting the same land as the civilized Houyhnhnms.", literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1030,Neogothic,Adjective,"Alternative form of neogothic 1979, Sandro Gattei, Sandro Pirovano, Robert Mainardi, Trentino Alto Adige, page 464:The travelling engineer Frencesco Senweignoter designed the church at Falzes (1851) and also the front of the mausoleaum for Archduke Reiner in the principal church in Bolzano"," architecture, literature","The latter is a pleasing and correct example of the Neogothic style. 1992, Newsletter - Issues 47-65, page 90:The earlier periods, the original and ideas-phases of German Neogothic, have been well written up in English; now Lewis's work fills an important gap in English-language works on the later period; indeed, so far, there is no comparable work in German either. 1993, East Central Wisconsin Regional Planning Commission, City of Berlin intensive architectural/historical survey: final report:The Neogothic Revival style of the early 1900s sought to tame the excesses of the flamboyant High Victorian Gothic by turning to English Gothic architecture for inspiration. 1995, Icon to Cartoon: A Tribute to Sixten Ringbom, page 22:His interest in architecture was always strongly linked to his sense of responsibility for the care and preservation of the built environment. In 1973 he published an article on Early Neogothic in Finland. 2000, Juan Bassegoda Nonell, Antonio Gaudi: Master Architect:Toward the end of the nineteenth century, he made a series of designs in the Neogothic idiom of Martorell.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5044,verism,Noun,"Presenting common, everyday subjects, specifically eschewing the heroic or legendary."," art, literature",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10479,voice,Noun,A particular style or way of writing that expresses a certain tone or feeling., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9877,carnivalize,Verb,To subvert (mainstream assumptions or literary styles) through humour and chaos," transitive, literature","1995, Ellen E. Berry, Genders 22: Postcommunism and the Body Politic, page 47:Gorenshtein carnivalizes Mother Russia herself and Ivanova carnivalizes love for Mother Russia. 1998, Helen Gilbert, Sightlines: race, gender, and nation in contemporary Australian theatre:The audience is then rapidly transported to the bizarre and excessively corporeal world of the forest people who, mostly misshapen, mute, and genetically deformed, nonetheless convey a tremendous vitality that carnivalizes classical form with formlessness.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12674,catalyst,Noun,An inciting incident that sets the successive conflict into motion., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20003,chaotics,Noun,A recent branch of literary and cultural studies based on chaos theory and the inherent structure of apparently chaotic systems, literature,"1999, Hans C. Werner, Literary texts as nonlinear patterns As I see it, chaotics represents more of a general outlook, a set of ideas describing the world, including literary texts, in ways used in a number of different disciplines. 2000, Gordon Slethaug, Beautiful Chaos, page xii:The very process of discovering chaotics and overturning established views of science and systems chimes with the emphasis in literature of the day on uncertainty and indeterminacy, free play of the signifier, and rewritings of various sorts.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20428,charactonym,Noun,A name that is somehow descriptive of the character who bears it., literature,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
34548,classical language,Noun,"An ancient language that has an independent tradition that arose mostly on its own, and has a large and rich body of ancient literature."," literature, linguistics",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42971,cognitive estrangement,Noun,"A narrative logic, characteristic of science fiction, whereby devices used in the story are lent plausibility by their being placed in the context of the fictional universe, which is imagined to be scientifically consistent"," literature, narratology","2003, Istvan Csicsery-Ronay, Jr., 7: Marxist theory and science fiction, Edward James, Farah Mendlesohn (editors), The Cambridge Companion to Science Fiction, Cambridge University Press, page 118, In his book Metamorphoses of Science Fiction (1979), Suvin introduced a number of ideas that remain central in sf criticism: cognitive estrangement, the novum and sf's genetic link with utopia. In the notion of cognitive estrangement, Suvin conflate two distict, but related, ideas of estrangement from earlier literary theory: ostranenie (de-familiarization) from the Russian Formalists, and Berthold Brecht's Verfremdungseffekt (alienation effect). [] Even more influential in sf theory than cognitive estrangement is Suvin's concept of the novum. 2005, Jan Johnson-Smith, American Science Fiction TV: Star Trek, Stargate and Beyond, I.B. Tauris, page 26, Cognitive estrangement can therefore be seen as defining the textual effects of such work: the text faxes its audience with something that will not fit into the existing patterns of verisimilitude, yet is being asserted and explored as fact. 2011, Roger Luckhurst, 1: In the Zone: Topologies of Genre Weirdness, Sara Wasson, Emily Alder (editors), Gothic Science Fiction 1980-2010, Liverpool University Press, page 21, Darko Suvin, the eminent theorist of science fiction, defined science fiction as a literature of cognitive estrangement, a genre in which the reader enters an imaginative world different or estranged from his or her empirical world, but different in a way that obeys rational causation or scientific law: thus, it is estranged cognitively.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
