Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur
38575,booty scratcher,Noun,An African person," derogatory, ethnic slur",,False,False,False,False,False,False,True
53486,bushy,Adjective,Derogatory word used to refer to Afro-textured Hair., Racial slur,,False,False,False,False,False,False,True
25212,honky,Noun,A Caucasian person," Canada, US, derogatory, ethnic slur",Synonyms: see Thesaurus:white person,False,False,False,False,False,False,True
28554,house nigger,Noun,"A subservient or accultured black person; an Uncle Tom or traitor 2003, John Cheever, The Wapshot Chronicle[1], page 162:""You look like a house nigger."""," derogatory, ethnic slur, idiomatic",,False,False,False,False,False,False,True
487,Jap,Noun,A Japanese person," derogatory, ethnic slur","1872, James Brooks, A Seven Months' Run, Up, and Down, and Around the World: Among our Japs on board are two returning from Italy, where they have been with silk-worms' eggs, on cards, to sell. This has become a great speculation, and the Japs are going into it with zeal. The Japs almost alwaysalways when they cantake cabin passages; the Chinese seldom, or never.",False,False,False,False,False,False,True
488,Jap,Adjective,Japanese; of or pertaining to Japan or its people.," derogatory, ethnic slur",,False,False,False,False,False,False,True
1502,Judeo-Bolshevik,Noun,Synonym of Judeo-Bolshevist," derogatory, ethnic slur, politics",,False,False,False,False,False,False,True
1505,Judeo-Bolshevist,Adjective,Communist and Jewish.," derogatory, ethnic slur, politics",,False,False,False,False,False,False,True
1506,Judeo-Bolshevist,Noun,"A communist, either of Jewish heritage or serving Jews."," derogatory, ethnic slur, politics",,False,False,False,False,False,False,True
2549,Hymie,Noun,"Jew Synonyms: Yid (not always pejorative), heeb, kike, sheeny, shylock"," derogatory, ethnic slur",,False,False,False,False,False,False,True
5531,eight-ball,Noun,A black person, ethnic slur,"2005, ""Creed, OK"", Carnivle episode 17 When a white fellow gets in the ring with an eight ball the eight ball's got no chance. You see, 'cause they call boxing the sweet science. And that's where your colored just runs into trouble. That's just that science part.Yeah, but Joe Louis is a big 'un.",False,False,False,False,False,False,True
6166,papist,Noun,"A Roman Catholic, whose loyalties are seen to be with the papacy in Rome."," religious slur, Christianity",,False,False,False,False,False,False,True
6167,papist,Adjective,The quality of being a papist," religious slur, Christianity","2011, Jill Hedges, Argentina: A Modern History However, Menem promptly surprised many observers (and most of his voters) by forming an alliance with Alsogaray, and becoming more papist than the Pope in economic orthodoxy.",False,False,False,False,False,False,True
33395,pigskin,Noun,A white., ethnic slur,,False,False,False,False,False,False,True
38580,plantation nigger,Noun,"A black person of limited intellect, likened to an uneducated field hand.", ethnic slur,,False,False,False,False,False,False,True
49425,poor white trash,Noun,"White trash; poor, uneducated white person or people of low social status."," US, modern, derogatory, ethnic slur",,False,False,False,False,False,False,True
54167,potato chaser,Noun,An Asian person with a strong inclination and attraction toward white people.," derogatory, ethnic slur, idiomatic",,False,False,False,False,False,False,True
54188,potato nigger,Noun,Irish person, ethnic slur,,False,False,False,False,False,False,True
11660,nigger nose,Noun,"An insult, a term of contempt for a black person"," derogatory, ethnic slur, idiomatic","1942, Henry Tetlow, We farm for a hobby and make it pay:The Mister loved to be teased. He frequently asked for it by lying down and fanning the floor with his tail whilst eyeing you invitingly. We used to tease him about his black nose: called him ""nigger nose"". 1965, Gertrude L. Downing, The preparations of teachers for schools in culturally deprived ...:We get such nicknames as nigger nose, beetle face, big lips, and this tends in a certain way to help gain the closeness of one to the other, but it also acts as a disruptive force in the room 1997, Jefferson A. Singer, Message in a bottle: stories of men and addiction:He was teased by his sisters and other children, who called him ""nigger nose"" and ""toe nose."" 1998, Laurie Stone, Close to the Bone: Memoirs of Hurt, Rage, and Desire[1], page 16:""Nigger nigger nose!"" She laughs. ""Fix it? Please?"" I don't want to cry. ""Sure, nigger nose!"" 2001, Allan Gurganus, The practical heart: four novellas:... of nicknames entered my life just as he was leaving it. ""Fish Face."" ""Scrambled-Egg Lips."" ""Dick Snout."" ""Dufus."" ""Nigger-nose."" ""Bottom Feeder."" ""Almost Monster."" 2008, Richard Baer, Switching Time: A Doctor's Harrowing Story of Treating a Woman ..., page 287:... because he always called me nigger, nigger lips or nigger nose 2010, Gabriel Mendez, Ordinary Boy, page 150:She called me 'nigger nose' and 'nigger lips' and remarked on my buck teeth and lisp-y, effeminate voice.",False,False,False,False,False,False,True
11684,niggerdick,Noun,"A man with a very large penis, especially a white man."," derogatory, ethnic slur",,False,False,False,False,False,False,True
11698,niggerfucker,Noun,A black person," highly derogatory, ethnic slur","1989, Hollinghurst, Alan, The Swimming-Pool Library[1], New York: Vintage Books, published 2011, ISBN:'Yeah! Fuckin' niggerfucker,' he said, with an excited little laugh, then froze his features again. 1995 October, Willocks, Tim, Green River Rising[2], Avon Books, ISBN, OL 7433112M, page 263:""We be back, niggerfucker. We be back. We be back."" Devlin watched them disappear around the corner. ""We be back, niggerbitch."" 2000, Booth, Stanley, Rythm[sic] Oil: A Journey Through the Music of the American South, New York: Da Capo, ISBN, LCCN 2011564652, OL 24979092M, page 245:...the police called me a niggerfucker, they'd come in my motel room when I was out, they knew everything I did.",False,False,False,False,False,False,True
11699,niggerfucker,Noun,One who has sexual intercourse with black people," highly derogatory, ethnic slur","2011, Mansour, Christopher Michael, Human Physics: An Anthology of Short Fiction, The Seashell Books, ISBN, page 98:They keep saying your mom is a nigger-fucker, your mom is a nigger-fucker. 2016, Michle Mendelssohn, Denis Flannery, Alan Hollinghurst: Writing Under the Influence Almost immediately they realize that Will is rich, gay, and involved with 'one of our little coloured brothers'. In the words of one skinhead, a 'Fuckin' niggerfucker' (SPL 173).",False,False,False,False,False,False,True
11781,niggress,Noun,A female nigger., ethnic slur,,False,False,False,False,False,False,True
12302,nilla,Noun,"a white person 2003, K"," derogatory, ethnic slur","Broussard, What Looks Like Black, page 124 Getting with her would be just like fucking a white girl and I don't want no 'nilla 2003, Patricia Haley, Patricia Haley-Brown, Blind Faith, page 222 Yeah, Nilla, I like that."" Sebastian was humored and enjoyed Jamal's free spirit, but had no intention of endorsing the new name he had been given, beyond the confines of this Buick. 2004, Tor Kung, My Mother Taught Me, page 184 Get water for him Nilla so he can wash her cunt, and make her ready to receive me. NOW. Commence.",False,False,False,False,False,False,True
28508,chopstick,Noun,An Asian person., ethnic slur,,False,False,False,False,False,False,True
41487,coconut,Noun,"A Hispanic or dark-skinned person who acts white (Caucasian), alluding to the fact that a coconut is brown on the outside and white on the inside."," derogatory, ethnic slur",,False,False,False,False,False,False,True
59180,coon,Noun,A black person., ethnic slur,,False,False,False,False,False,False,True
59183,coon,Noun,A coonass; a white Acadian French person who lives in the swamps.," Southern US, ethnic slur",,False,False,False,False,False,False,True
59185,coon,Noun,A black person who disagrees with left-wing politics.," Can we verify(+) this sense?;; US, ethnic slur, neologism",,False,False,False,False,False,False,True
64215,cotton picker,Noun,A black person., ethnic slur,,False,False,False,False,False,False,True
