term,definition
bispectrum,A statistic used in the study of nonlinear interactions.
black-letter,Given to the study of books in black letter; old-fashioned
bookery,"study of or passion for books 1907, Thomas Hood: His Life and Times - Page 364: Hood returned to London looking and feeling well and ready to take up his ""bookery"" again with renewed zest."
bookwork,The art and science of formatting books
botany,"The scientific study of plants, a branch of biology"
botany,"A botanical treatise or study, especially of a particular system of botany or that of a particular place."
boyology,The examination or study of male adolescence
breathomics,The (study of the) contents of exhaled breath of a person who has a specific pathological condition
brewology,"The science or study of brewing, especially of brewing beer."
bromatologist,One versed in the science of foods.
brunaille,An artwork or study executed in this style
Krishnology,The academic study of the Vaishna theology of Krishna in general
haematology,The scientific study of blood and blood-producing organs.
hamartiology,The theology or study of sin.
harmonic analysis,"A study of the representation of functions or signals as the superposition of basic waves, involving the notions of harmonic functions, trigonometric series, Fourier series, Fourier transforms, almost periodic functions, and others."
harmony,The academic study of chords.
haruspicy,"The study and divination by use of animal entrails, usually the victims of sacrifice"
hedonics,The ethical study of pleasure
helcology,"The study, pathology, and treatment of ulcers."
heliogeomagnetics,The (study of) geomagnetic activity of the sun
heliography,The scientific study of the sun.
hematology,The scientific study of blood and blood-producing organs.
hepaticology,The scientific study of liverworts (Marchantiophyta)
hepatology,"The study or treatment of the liver, gallbladder, and pancreas."
herbalism,The use or study of medicinal herbs.
herblore,"The traditional knowledge, teaching, or study of herbs; herbalism"
hermeneutics,"The study or theory of the methodical interpretation of text, especially holy texts"
herniology,The surgical study of hernias.
heterotopology,The Foucauldian study of heterotopias.
heurism,Knowledge derived from empirical study and practical adoption of experience.
hierology,The comparative and historical study of religions.
histonomy,"The science that deals with organic tissues and their formation, development, and functions."
histopathology,"The microscopic study of tissue, especially of abnormal tissue as a result of disease."
histophysiology,The physiology or study of the functions of the cells and tissues in health.
historical linguistics,The scientific study of language change.
hologenomics,The omics study of hologenomes.
homo politicus,In political science a concept coined by Plato that posits that man is essentially a political animal.
horticulture,The art or science of cultivating gardens; gardening.
hortology,"The craft, art and science of gardening."
human behaviour,"The academic study of how human beings make decisions and how these decisions are influenced by a number of factors such as culture, emotions, genetics and authority."
human movement,"The academic study of how human beings move around, perform and exercise, especially in sport."
hydraulics,The engineering science that deals with practical applications where liquid is in motion and transmits energy.
hydrodynamics,The scientific study of fluids in motion.
hydrophobics,"The study, and the application of hydrophobicity 2009 John A Gerit, ""Acetoacetate decarboxylase: hydrophobics, not electrostatics"", Nature"
hydroscience,The science and associated technology of water management
hydrostatics,"The scientific study of fluids at rest, especially when under pressure"
hyetography,The science that deals with the geographical distribution of rain.
hygrology,The science that deals with the fluids of the body.
hymenography,A study (or a description) of membranes
hymenopterology,The scientific study of the Hymenoptera.
e-science,"computationally intensive science, carried out in distributed network environments or with very large sets of data"
earthlore,"Knowledge, teaching, study, or science of the earth"
eccrinology,The scientific study of secretion and the eccrine glands.
ecocriticism,The interdisciplinary study of literature and ecology
egology,"A science of the ego, in Husserlian philosophy."
ekistics,"the scientific study of human settlements, and the planning and design of cities and other communities"
electrogravitics,a proposed science involving the use of an electric field to charge (or polarize) an object so as to counteract the effects of gravity.
electronics,The study and use of electrical devices that operate by controlling the flow of electrons or other electrically charged particles or by converting the flow of charged particles to or from other forms of energy
elflore,"Knowledge, science, study, or history of elves"
embryology,The scientific study of embryos.
emotionology,The multidisciplinary study of emotions
encephalology,The science dealing with the brain and its structure and function.
endemiology,The scientific study of endemic conditions.
entomology,The scientific study of insects
entozoology,The scientific study of the entozoa.
entrepreneurship,The art or science of innovation and risk-taking for profit in business.
environmental science,"The integrated study of factors that influence the environment and environmental systems, especially the interaction of the physical, chemical, and biological components of the environment"
epicrisis,"A critical or analytical study, evaluation, or summing up, especially of a medical case history"
epigraphics,The science or study of epigraphs.
epigraphy,"the study or decipherment of inscriptions, especially of ancient ones"
ergology,Knowledge originating from the study of the object culture of non-European traditional societies.
escapology,"The study or art of escaping from a constriction, such as a rope, handcuffs, etc"
ethnoarchaeology,The ethnographic study of peoples for archaeological reasons.
ethnoastronomy,The anthropological study of skywatching in contemporary societies.
ethnobotany,The scientific study of the relationships between people and plants.
ethnobotany,The scientific study of traditional medicinal plants used by various ethnic groups.
ethnogeography,The scientific study of the geographic distribution of ethnic groups.
ethnopharmacology,"The scientific study correlating ethnic groups, their health, and how it relates to their physical habits and methodology in creating and using medicines."
ethnopharmacy,An interdisciplinary science that investigates the perception and use of pharmaceuticals (especially traditional medicines) in human society.
ethnopsychology,The scientific study of psychological concepts as they exist across different ethnic groups.
ethnoscience,The scientific study of ethnic cultures.
ethography,The study and recording of moral behaviour and human manners
ethology,The scientific study of human and animal behaviour.
etiopathology,"The determination or study of the cause of a pathology 2015 July 6, Association of DNA Methylation with Acute Mania and Inflammatory Markers, in PLOS ONE[1], DOI:10.1371/journal.pone.0132001:However, more work is needed to determine whether methylation in this locus is involved in the etiopathology of mania."
exact science,"A mathematical science, i.e"
exegetist,One versed in the science of exegesis or interpretation.
exopolitics,The art or science of government as concerned with creating or influencing policy toward extraterrestrial phenomena and extraterrestrial beings
exoscience,Science concerning exoplanets and anything on them.
paedopsychology,"The systematic study or theoretical consideration of the nature, functioning, and development of the minds (or, more rarely, the souls) of children and/or infants; child psychology"
palaeobiology,"The scientific study of prehistoric life, especially of those aspects pertaining to living systems."
palaeoclimatology,The scientific study of prehistoric climate of the Earth.
palaeoentomology,The scientific study of prehistoric insects.
palaeoichthyology,The scientific study of prehistoric fish.
palaetiology,"The science that explains, by the law of causation, the past condition and changes of the Earth."
paleanthropology,"The scientific study of fossil humans, and the evolution of modern man."
paleoanthropology,The scientific study of ancient human remains.
paleobiogeography,The scientific study of the prehistoric distribution of plants and animals.
paleoepidemiology,The epidemiological study of disease in ancient times
paleogeomorphology,"Paleogeomorphology, the study of historical physical geography (historical landforms)."
paleomicrobiology,The microbiological study of prehistoric material
paleontology,"Study of the forms of life existing in prehistoric or geologic times, especially as represented by fossils."
paleophysiology,The scientific study of the evolutionary basis of animal physiology.
paleostudy,A paleological study
palynology,"The scientific study of spores, pollen and particulate organic matter in various matrices including the air (pollen counts), crime scenes, and sedimentary rocks."
pancreatology,The scientific study of the pancreas
paramagnetics,The science and technology of paramagnetism and of paramagnetic materials
parascience,Science that is non-mainstream or carried out in a subsidiary capacity.
parasitology,A study of parasites.
pedagogics,The science or art of teaching; pedagogy.
penology,Study of the processes devised and adopted for the punishment and prevention of crime.
perspectography,The science or art of drawing in perspective.
phallology,The scientific study of the penis.
phantasmology,The scientific study of spiritualistic manifestations and of apparitions.
pharmaceutics,The art and science of dispensing medical drugs.
pharyngology,The science that studies the pharynx and treatment of its diseases.
philematology,The scientific study of kissing
philology,The humanistic study of historical linguistics
philology,"Love and study of learning and literature, broadly speaking.[1] Fuller, Thomas, 1608-1661"
photoferroelectrics,"The study, design and manufacture of photoferroelectric devices 2015, Shi Liu, Fan Zheng, Ilya Grinberg, Andrew M"
photology,"That science concerned with the production of light and energy, especially regarding therapeutic applications."
photonics,"the science and technology of generating and controlling photons, particularly in the visible and near infrared light spectrum"
photopiezoelectrics,"The study, design and manufacture of photopiezoelectric devices 2015, Shi Liu, Fan Zheng, Ilya Grinberg, Andrew M"
photoplethysmography,The recording or study of photoplethysmographs.
phraseology,Study of set or fixed expressions.
phrenology,"The science, now generally discredited, which studies the relationships between a person's character and the morphology (structure) of the skull"
phthisiology,"The care, treatment, and study of tuberculosis of the lung"
phycology,The scientific study of algae.
phylogenetics,The systematic study of organism relationships based on evolutionary similarities and differences
phylogenomics,The science that studies the relationship of the function of genes to their evolution.
physical chemistry,The science that uses theories and techniques from physics to study chemical systems.
phytochemistry,The scientific study of the chemicals found in plants.
phytogeography,The science that studies the geographical distribution of plants; geobotany
phytognomy,The pseudoscientific study of the medical benefits of plants as determined by their shape (e.g
phytolithology,The science that deals with fossil plants; paleobotany; paleophytology.
piezotronics,"The science and technology of piezoelectric effects and devices 2015, Ruixiang Fei, Wenbin Li, Ju Li, Li Yang, Giant Piezoelectricity in Monolayer Group IV Monochalcogenides: SnSe, SnS, GeSe and GeS, in arXiv[1]:Given the achieved experimental advances in fabrication of monolayers, their flexible character and ability to withstand enormous strain, these 2D structures with giant piezoelectric effects may be promising for a broad range of applications, such as nano-sized sensors, piezotronics, and energy harvesting in portable electronic devices.."
plasmadynamics,The scientific study of the motion of plasma.
plutology,The science that deals with wealth.
pneumatology,"The science dealing with air or gases, their physical and chemical properties, therapeutic applications, etc."
political science,The systematic study of government and politics.
political science,"The analytical study of public policy and policies, past, present, and prospective."
polymerics,The science and technology of the production of polymers
pop-science,popular science
popular science,"Of, or having to do with science, but aimed at ordinary people as opposed to scientists; intended for general consumption"
positive eugenics,The applied science of selecting positive or desirable traits in a species.
poststudy,A small study undertaken after a larger one
practicum,A science exam in which students are questioned about specimens or other objects placed in front of them.
praxics,The scientific study of behaviour.
prestudy,A small study undertaken before a larger one.
probability theory,The mathematical study of probability (the likelihood of occurrence of random events in order to predict the behavior of defined systems).
profiling,The forensic science of constructing an outline of a person's individual characteristics.
proleptics,The art and science of predicting in medicine
prosopography,"a study of the individuals in a group of people within a specific context and their relationships 2014, Phillip Murowski, Never Let a Serious Crisis Go to Waste Since it would be a daunting task to subject the entire profession to audit, he chose to pursue the prosopography of the manageable subset of financial economists who had presented themselves as ""faceless"" representatives of the orthodox economics discipline, either through the Squam Lake Group (covered above) or the Pew Economic Policy Group Financial Reform Project."
protistology,The scientific study of protists.
psephology,The predictive or statistical study of elections
psychoacoustics,The scientific study of all the psychological interactions between humans and the world of sound; includes the perception and production of speech.
psychohistory,The scientific study of psychology and motivation in history
psychoneuroendocrinology,The clinical study of hormone fluctuations and their relationship to human behaviour.
psychrometry,The measurement or study of the thermodynamic properties of moist air.
pteridology,The scientific study of ferns and other pteridophytes.
pterylography,"The study or description of the arrangement of feathers, or of the pterylae, of birds."
ptilosis,"The appearance or study of feathers on a bird, including factors such as their texture or shape"
public health,"The science and practice of community hygiene; includes preventive medicine, health education, sanitation and environmental safety."
pyrheliometry,The study (and measurement) of solar radiation using a pyrheliometer.
pædeutics,Science of educating or teaching.
Indology,"The academic study of the history, culture, and languages of the Indian subcontinent."
Mariology,The theological study of the Virgin Mary.
nanoionics,The study and application of ion transport in nanoscale solid-state devices
nanophotonics,"The science that studies the behaviour of light, and of optical devices, on a nanometre scale."
nanorobotics,"The science and technology of designing and manufacturing nanoscale machines, especially robotic machines."
nanoscience,The underlying science of nanotechnology.
nanotechnology,the science and technology of creating nanoparticles and of manufacturing machines which have sizes within the range of nanometres
natural philosophy,"The objective study of nature in the widest sense; science, (later especially) physics"
natural science,"Any science involved in studying phenomena or laws of the physical world: physics, chemistry, biology, astronomy, and so on."
negative eugenics,The applied science of avoiding the reproduction of members of an animal species with bad genetics.
neology,The study or art of neologizing (creating new words)
neuro-oncology,The scientific study of brain neoplasms
neurobiology,The scientific study of nerve and brain function in people and animals.
neurocinematics,The neuroscientific study of the effects of films on the viewer's brain.
neuroesthetics,The scientific study of the neural bases for the contemplation and creation of artworks.
neuroinformatics,The science that studies the neural system by use of computational models
neurolinguistics,"Science concerned with the human brain mechanisms underlying the comprehension, production and abstract knowledge of language, be it spoken, signed or written."
neuropharmacology,A science concerned with drug-induced changes in the functioning of cells in the nervous system.
neurophilosophy,The interdisciplinary study of neuroscience and philosophy that explores the relevance of neuroscientific studies to the arguments traditionally categorized as philosophy of mind.
neuropsychopathology,The (study of the) effects of the brain on psychopathology
neuropsychopharmacology,The clinical and scientific study of the physiological and psychological properties of agents acting within the central nervous system.
neurorobotics,The science and technology of embodied autonomous neural systems
neuroscience,The scientific study of the nervous system
neurotoxicology,The scientific study of poisoning by neurotoxins.
neurovirology,The scientific study of viruses capable of infecting the nervous system
neutrino astronomy,"The detection and study of neutrinos, in order to investigate astronomical objects and the universe."
noology,The systematic study and organization of everything dealing with knowing and knowledge.
notaphily,The study or collecting of paper money or banknotes
nymphology,the scientific study of nymphs
variationism,The sociolinguistic study of variation in usage among speakers of the same language.
vasography,"An invasive X-ray study of the vas deferens to check for blockage, often in the context of male infertility."
videomicrography,"The art and science of making videos of microscopic objects, by the use of a microscope"
vitrics,The art or study of the manufacture and decoration of glassware
vocology,The science and practice of voice habilitation.
cancerology,The scientific study of cancer
capology,"The study or science of salary caps, the rules regulating the total amount of player compensation"
cardiodynamics,The (study of the) action of the heart
cardiooncology,"The study and treatment of cancers of the heart 2015 August 2, Margot K"
casuistics,The recording and study of individual cases.
ceramics,the art or science of making ceramic objects
cerebrology,The science that deals with the cerebrum or brain.
characterology,The study or attempted deduction of character in individuals
chemical physics,The science that studies chemical processes and phenomena from the point of view of physics.
chemostratigraphy,The study and dating of sedimentary strata by the analysis of trace elements and isotopic ratios
chiropterology,The scientific study of bats
chromatology,The scientific study of colour.
cinematology,The art and science of making movies; cinematography
cirripedology,The scientific study of barnacles.
clanistics,The genetic study of the evolution of related organisms
climatology,"The science that deals with climates, and investigates their phenomena and causes."
clonogenics,The (study of the) formation of clones
clonology,The science or study of cloning and clones.
cobordism,The theory and study of such objects
cognitive science,The multidisciplinary study of mind and behavior.
cognitology,cognitive science
coleopterology,The scientific study of beetles.
collateral science,"A science of importance in medicine but not part of medicine, especially physics, chemistry and botany"
collateral science,A science bearing a similar relationship to some other field.
collembology,"The scientific study of springtails, the Collembola."
colorology,The scientific study of colour
complexity theory,The study and classification of decision problems by the computational resourcessuch as time and spaceneeded by the programs that solve the problems
computer vision,"The science and technology of machines that see, concerned with the theory for building artificial systems that obtain information from images, such as a video sequence, views from multiple cameras, or multi-dimensional data from a medical scanner"
computerlore,"The knowledge, teaching, study, science, or legend surrounding computers"
computing,"The study, field of computers and computer programming"
conceptual physics,"a study and description of properties and interactions of space, time, matter and energy in conceptual non-mathematical form with emphasis on logical reasoning in order to derive fundamental laws of nature and to derive conclusions from these laws."
consequentialism,"The ethical study of morals, duties and rights with an approach that focuses consequences of a particular action."
conservation biology,The scientific study of the state of Earth's biodiversity with the objective to protect it from becoming extinct.
copepodology,The scientific study of copepods.
cosmology,A metaphysical study into the origin and nature of the universe.
counter-economics,The study or practice of all peaceful human action which is forbidden by the State.
counterstudy,A study that goes against another study
criminalistics,The scientific processing and study of evidence of crimes.
cryoelectronics,"the study, design and manufacture of electronic components that function at low temperatures; especially those that employ superconductivity"
cryogenics,The science and technology of the production of very low temperatures.
cryogenics,The scientific study of low-temperature phenomena.
cryptoforestry,The study or development of cryptoforests
cryptology,"The science or study of mathematical, linguistic, and other coding patterns and histories."
crystallography,The experimental science of determining the arrangement of atoms in solids.
cybercriticism,The critical study of cyberculture.
cyberscience,Traditional scientific study and research carried out in cyberspace.
cyberstudy,Study that takes place in cyberspace or over the Internet.
cybertronics,The study and design of cybertronic devices (electronic control systems).
Buffyology,The academic study of the television series Buffy the Vampire Slayer.
Byzantism,"The study, or the use of elements of the Byzantine culture"
keraunomedicine,The medical study of lightning injuries and casualties.
kinanthropometry,"The scientific study of human size, shape, and body composition."
kinesthesiology,the medical and therapeutic study of the movement of muscles and joints
Czech studies,"An academic study of the Czech language, literature or culture"
Tolkienology,The academic study of the works of British author J
Treknology,The fictional science and technology featured in Star Trek.
sanitation engineering,"The study, design, construction and operation of landfills."
scatology,The scientific study or chemical analysis of faeces.
scientometry,"The study and valuation of science by quantitative means, such as the number of papers published in a field"
scorpiology,The scientific study of scorpions.
scrutiny,Intense study of someone or something
sealore,"Knowledge, teaching, science, or study of the sea"
secondary source,"A study of past events or a past author written from the perspective of a later period of time; a document that draws on one or more historical primary sources and interprets or analyses them, including documents such as newspapers whose accuracy is open to question."
selenography,The scientific study of the Moon's geographic features; geography of the Moon.
selenology,The scientific study of the Moon
self-study,Study without the aid of a formal education institution.
sensitometry,"The scientific study of light-sensitive materials, especially photographic film."
serology,"The science that studies the blood serum, and especially the reaction between antigens and antibodies in serum."
serostudy,A serological study
sexlore,"Knowledge, science, study, or history of sex."
siphonapterology,The scientific study of fleas and other insects of the order Siphonaptera.
sociobiology,The science that applies the principles of evolutionary biology to the study of social behaviour in both humans and animals
sociometry,"The quantitative study of social interactions, and the measurement of preferences etc."
sociotherapy,A social science and form of social work involving the study of groups and individuals with the aim of improving lives and social conditions.
soil science,"The scientific study of the formation, classification, mapping, and the physical, chemical and biological properties of soil."
somnology,The clinical study and treatment of sleep disorders and irregularities.
sonics,The science and technology of sound.
spacelore,"The teaching, knowledge, study, or science of (outer) space"
spectroelectrochemistry,The spectroscopic study of electrochemical processes
spectroscopy,The scientific study of spectra.
speechcraft,"The art, skill or science of speech or language."
speechlore,"The science, study, or knowledge of language or speech; linguistics"
speleology,The scientific study of caves.
spermatology,The scientific study of sperm.
sphingolipidology,The scientific study of sphingolipids
sporology,The scientific study of spores.
sports science,the scientific study of how the human body works during exercise
starlore,"The study, knowledge, or science of stars; astrology; astronomy"
statistics,"A mathematical science concerned with data collection, presentation, analysis, and interpretation"
stoichiometry,The study and calculation of quantitative (measurable) relationships of the reactants and products in chemical reactions (chemical equations).
strategic management,"The art and science of formulating, implementing and evaluating cross-functional decisions that will enable an organization to achieve its objectives."
strategy,The science and art of military command as applied to the overall planning and conduct of warfare.
stœchiology,Scientific study of bodily elements.
subaltern studies,"The study and writing of history with a particular focus on the experiences and perspectives of common people, rather than that of political leaders or the elite."
substudy,A subordinate study
supernematics,The creation and study of supernematic systems
symbology,The study or use of symbols.
symptomatology,The science that studies the symptoms of diseases
synaptology,The scientific study of synapses
syphilology,"the scientific study of, and treatment of, syphilis."
systematology,The science or study of systematizing
systematology,The science or study of systems or their formations
systemics,"The holistic study of systems, from a scientific and/or philosophical perspective."
systems biology,The systematic study of the complex interactions in biological systems
systems theory,The systematic study of the complex interactions in systems.
factor analysis,A statistical study performed using the method
fairylore,"The knowledge, study, history, or lore of fairies."
familyism,The study or promotion of familial relations.
ferromagnetics,The science and technology of ferromagnetic materials
fetology,The scientific study of fetuses.
field study,A study done as a part of field research (fieldwork)
filmlore,"The knowledge, study, science, history, or culture relating to films or moviemaking; cinematology"
fishlore,"The knowledge, science, or study of fish; ichthyology"
floristics,"The scientific study of the distribution of plants, especially on the regional level."
fluid dynamics,The scientific study of the properties and behavior of moving fluids.
focimetry,The art or study of measuring the power of lenses.
folkloristics,The formal academic study of folklore.
fontography,"The design and study of fonts, or typefaces"
forensics,forensic science
forestudy,Anything studied or requiring study beforehand; a prerequisite
formal science,"A study that is concerned with theoretical formal systems, such as logic, mathematics, systems theory and the theoretical branches of computer science, information theory, microeconomics, statistics, and linguistics."
futurism,The study and prediction of possible futures
magnetician,One versed in the science of magnetism; a magnetist.
magnetism,The science which treats of magnetic phenomena.
magnetocalorimetry,"The study, and measurement of heat produced by magnetic phenomena"
magnetoplasmadynamics,The scientific study of the motion of plasma in the presence of a magnetic field.
malariology,The scientific study of malaria.
maledictology,The scientific study of insults and curses
mapwork,"The study and analysis of maps, especially prior to, or in relation to fieldwork 1978, British Cartographic Society, The Cartographic journal: Volumes 15-17; Volume 15 Studies of the mapwork of children per se have mainly concerned large scale maps and perception maps"
mathematical analysis,"The mathematical study of functions, sequences, series, limits, derivatives and integrals."
mathematical semantics,"A study of formal semantics of computer languages, such as denotational semantics."
membranology,The science that deals with membranes.
metaethics,"The descriptive study of philosophical ethical systems, especially with regard to their key concepts, techniques of reasoning and analysis, and linguistic conventions."
metapsychology,The philosophical study of psychology and of the mind.
metastudy,A study on the topic of studies
metempiricism,The science that is concerned with metempirics.
meteoritics,"The science that deals with meteors, meteorites, and meteoroids."
meteorology,"The science that deals with the study of the atmosphere and its phenomena, especially with weather and weather forecasting."
microfluidics,"The science concerned with the design and construction of microminiaturized devices containing chambers and tunnels through which fluids flow in a controlled manner; used to construct labs on a chip, ink-jet printer heads etc."
micrography,"Examination or study by means of the microscope, as of an etched surface of metal to determine its structure."
micromagnetics,The study and application of micromagnetism
micromeritics,The science and technology of small particles.
microseismology,The scientific study of microseisms.
microstratigraphy,The microscopic study of geological strata
microstudy,A very small-scale academic study.
midwifery,The practice and science of being a midwife.
mnemotechny,The study and practice of improving ones memory.
modello,A preparatory sketch or study for a painting or other artwork.
moral science,"The systematic, scientific study of human nature and relationships"
morphology,"A scientific study of form and structure, usually without regard to function"
morphophysiology,The (study of the) biological interrelationship between form and physiological function
motivology,The psychological study of people's motives
movielore,"The knowledge, study, history, or culture relating to movies and filmmaking; filmlore"
musicology,"the scholarly or scientific study of music, as in historical research, musical theory, or the physical nature of sound."
myology,The physiological study of muscles
myriapodology,The scientific study of myriapods.
mythology,The systematic collection and study of myths.
xenoarchaeology,"A fictional science, concerned with the physical remains of alien cultures"
Erasmus,A study period as part of the Erasmus Programme
Esperantology,The academic study of Esperanto.
Palestinology,The academic study of the culture and genealogy of Palestinians
ultrametrics,The study and use of ultrametric systems
ultrasonics,the science and technology of ultrasound
ur-science,"Early, original, or foundational science 2009, Shahid Rahman, John Symons, Dov M"
uranology,The scientific observation and study of the planet Uranus.
urodynamics,The (study of the) dynamics of the flow of urine through the urinary tract
jurisprudence,"The philosophy, science, and study of law"
juxtology,the study in literature of juxtaposition in text and semantics
radiographics,The science and technology of radiography
radiometabolism,The scientific study of metabolism using radioactive markers.
rangaku,The Japanese study of Western knowledge.
reflexology,The study and interpretation of behavior in terms of simple and complex reflexes.
relaxometry,The study and measurement of relaxation in forms of nuclear magnetic resonance
religious studies,"The academic study of religious beliefs, behaviours and institutions."
resinography,The chemical and structural study of resins.
rhinolaryngology,"The scientific study of the nose and larynx, especially the anatomy, physiology and pathology"
rhinology,The scientific study of the nose
robotics,"The science and technology of robots, their design, manufacture, and application 1941 May, Asimov, Isaac, Liar!, in Astounding Science-Fiction, volume 27, number 3, page 53:There's irony in three of the greatest experts in robotics in the world falling into the same elementary trap, isn't there?"
rock mechanics,The science that studies the mechanical behaviour of rock.
rocket science,The science or study of rockets and their design.
rodentology,The study or science of rodents.
garbology,The anthropological study of society through refuse.
gastrology,the scientific study of the stomach
gastrosophy,the science or art of good eating
gemellology,the scientific study of twins and twinning.
gemology,The art and science of gems
genealogy,"The study, and formal recording of such descents."
genetic engineering,The practice or science of genetic modification.
geoastrophysics,A multidisciplinary science incorporating geoscience and astrophysics.
geobiology,The interdisciplinary study that incorporates geology and biology
geodemography,"A science that links geography and demography, seeking to understand the processes by which settlements and cities evolve and neighbourhoods are formed."
geoecology,The interdisciplinary study of geography and ecology
geographic information science,The scientific study of the nature and use of geographic information; the theoretical foundation of geographic information systems.
geoinformatics,"A science and technology which develops and uses information science to address problems of geography, geosciences and related branches of engineering"
geology,"The science that studies the structure of the earth (or other planets), together with its origin and development, especially by examination of its rocks."
geomagnetism,The science that studies the magnetism of the Earth.
geoscience,earth science
gerodontology,The scientific study of dental care in the elderly.
ghostlore,"The knowledge, or study of ghosts or spirits; the science of the supernatural; spiritism"
giantlore,"The knowledge, teaching, study, or lore dealing with giants"
gnoseology,The scientific or philosophical study of knowledge
gnotobiotics,The science involved with maintaining a microbiologically controlled environment.
godlore,The study or knowledge of God or gods; theology; divinity; mythology; religion
gradiometry,The study and measurement of variations in some physical attribute
grammatology,The scientific study of writing systems or scripts.
gramophony,The business or study of gramophones.
gynocriticism,The historical study of women writers as a distinct literary tradition.
lepidopterology,The scientific study of butterflies and moths (the Lepidoptera).
library and information science,Library science.
library science,"An interdisciplinary science incorporating the humanities, law and applied science to study topics related to libraries, the collection, organization, preservation and dissemination of information resources, and the political economy of information."
lichenology,"the scientific study of lichens 1995 November 3, Jerry Sullivan, Field Street, in Chicago Reader[1]:You start out pulling a few weeds, and the next thing you know you're studying for finals in lichenology"
life drawing,"A sketched study of a model holding a pose, normally nude, or the process of creating such an image."
limacology,The scientific study of slugs.
limnology,"The science concerning the biological, physical and geological properties of fresh water bodies, especially lakes and ponds"
linguistics,The scientific study of language.
linguo-stylistics,study of functional styles and expressive potential of a language
lipidology,The scientific study of lipids (fats)
literaturology,The scholarly or scientific study of literature.
lithogeochemistry,"The scientific study of the composition, structure, properties and reactions of stone and mineral from the earth."
locksmithing,The science and art of making and defeating locks.
logic,The mathematical study of relationships between rigorously defined concepts and of mathematical proof of statements.
logopedics,"The study, and correction, of speech and language defects, disorders in communication and swallowing disorders."
lovelore,"The knowledge, science, study, or history of love"
lucubration,"Intense and prolonged study or meditation; especially, late at night"
ludomusicology,The scientific study of video game music
lyricology,"The interest, field, or study of lyrics"
abnormal psychology,"The academic study of persons whose psychological characteristics deviate from the norm, as with neuroses, psychoses, and disorders"
academia,Continuous study at higher education institutions; scholarship
acoustooptics,The science that studies the diffraction of light by ultrasonic sound.
acridology,The scientific study of grasshoppers and locusts (of the infraorder Acrididea)
actuatorics,The science and technology of actuators
addictionology,The study and treatment of addiction.
aeonology,The Gnostic study of aeons.
aeroelasticity,The scientific study of the effect of aerodynamic loads on structures.
aerophilately,"The study or collection of airmail stamps, cancellations, etc."
aerothermodynamics,"The scientific study of the thermodynamic properties of gases, especially when travelling at a high velocity."
aesthetics,The study or philosophy of beauty.
aetherometry,A so-called science of energy that has no mass equivalent.
aetiology,The study or investigation of the causes of disease; a scientific explanation for the origin of a disease.
agathology,The science or theory of the good.
agriculture,"The art or science of cultivating the ground, including the harvesting of crops, and the rearing and management of livestock"
agriology,"The comparative study of primitive, illiterate or ""savage"" cultures."
agriscience,agricultural science
agrology,The science and art of agriculture
air navigation,the science and technology of determining the position of an aircraft with respect to the surface of the earth and accurately maintaining a desired course
algedonics,The scientific study of pleasure and pain responses
allometry,The science studying the differential growth rates of the parts of a living organism's body part or process.
analysis,"The mathematical study of functions, sequences, series, limits, derivatives and integrals."
analysis,"The analytical study of melodies, harmonies, sequences, repetitions, variations, quotations, juxtapositions, and surprises."
anatomy,The science that deals with the form and structure of organic bodies; anatomical structure or organization
angel-lore,"The knowledge, doctrine, study, or history of angels"
anthropology,"The holistic scientific and social study of humanity, mainly using ethnography as its method"
anthropotechnics,The science and technology concerning the close interaction of man and machines
antiferroelectrics,"The study or use of antiferroelectric materials, and of antiferroelectricity"
antisepsis,"The science and practice of countering microbial infection, as with the use of antiseptics, and the use of aseptic technique."
apiology,The scientific study of bees and honey-making.
archaeastronomy,"The historical, especially archeological, study of astronomy; the study of the astronomical systems and methods of ancient cultures often embracing the astrology and cosmology of the past"
architectonics,The science pertaining to architecture
architecture,"The art and science of designing and managing the construction of buildings and other structures, particularly if they are well proportioned and decorated"
archival science,"The theory and study of the safe storage, cataloguing and retrieval of documents and items."
areography,The scientific study of the planet Mars' geographical features; geography of Mars.
areology,The scientific observation and study of the planet Mars's geology; geology of Mars.
aristology,The art or science of dining.
arrhythmology,"The study, diagnosis and treatment of cardiac arrhythmia"
art,The study and the product of these processes
art,"Skill that is attained by study, practice, or observation"
astrionics,The science dealing with the application of electronics to astronautics.
astrogeology,The science dealing with the structure and composition of planets and other bodies in the solar system.
astrognosy,"The science or knowledge of the stars, especially the fixed stars"
astronautics,The science and technology of spaceflight.
astropolitics,"The theory and study of the effects of space, in its broadest sense, on politics."
atomic force microscopy,The science and technology associated with the design and use of atomic force microscopes
atomtronics,"The design, manufacture and study of analogs of electronics using atoms (especially Bose-Einstein condensates) at low temperature"
aviation,The art or science of making and flying aircraft.
avionics,The science and technology of the development and use of electrical and electronic devices in aviation.
tachymetry,The science or use of the tachymeter.
taxonomy,The science or the technique used to make a classification.
technopark,science park
technopreneurship,The art or science of being a technopreneur.
tectonics,"The science and art of assembling, shaping, or ornamenting materials in construction."
telecommunication,"The science and technology of the communication of messages over a distance using electric, electronic or electromagnetic impulses"
telemetry,"the science, and associated technology, of the automatic recording and transmission of data from a remote source to a receiving station for analysis"
telephony,The study and application of telephone technology.
tephrostratigraphy,The study and dating of pyroclastic layers (tephra) of [[volcanic[] ash
teratology,The study or cataloging of monsters
thalassography,The scientific study of marine life
