term,definition
bronchoesophagology,The study of (the diseases of) the bronchi and the esophagus
brontology,The study of thunder.
bryology,The study of bryophytes (non-vascular plants including mosses and liverworts).
bursalogy,The study of the bursae.
business ethics,The branch of ethics that examines questions of moral right and wrong arising in the context of business practice or theory.
buttonology,The study of buttons.
K-theory,"The study of a ring generated by vector bundles over a topological space or scheme, with certain applications in string theory."
Kremlinology,The study of the internal politics of the high members of the government of the USSR.
Kremlinology,The study of the internal politics of any powerful and secretive organization.
hadrochemistry,The study of hadrochemical interactions.
hadrodynamics,The study of the laws that govern the motion and interaction of hadrons
hadronics,The study of hadrons.
hagiography,The study of saints and the documentation of their lives
happyology,The study of happiness
haptics,The study of the sense of touch.
haptics,The study of user interfaces that use the sense of touch
health physics,The science of radiation protection and safety.
helioseismology,The study of the propagation of pressure waves in the Sun
helminthology,The branch of zoology related to the study of helminths (parasitic worms).
hematopathology,The branch of pathology that deals with diseases of the blood
hemerology,"The study of calendars, especially with a view to identifying propitious days"
hemipterology,"The study of hemipterans, the true bugs."
hemopathology,The branch of pathology dealing with diseases of the blood
hemorheology,The science of the rheological (especially flow) properties of the blood
hemostaseology,The science of hemostasis
heortology,The study of religious festivals
herbology,"The study of herbs and their medical properties, especially when combined"
hereditary mechanics,The branch of mechanics dealing with the effects of stress and strain on physical bodies over time.
heresiology,The study of heresy.
herpetology,The branch of biology dealing with reptiles (Reptilia) and amphibians.
hetegony,The study of the origin of the planets in the solar system
heuretic,The branch of logic concerned with discovery or invention
hexology,The study of hex signs
hippiatry,The branch of veterinary medicine dealing with horses.
hippology,The study of horses.
hippopathology,The science of veterinary medicine; the pathology of the horse.
hippotomy,The branch of anatomy that deals with horses.
histochemistry,The branch of histology dealing with the chemistry of cells and tissues.
histology,"The study of the microscopic structure, chemical composition and function of the tissue or tissue systems of plants and animals."
histomorphometry,The study of the microscopic structure of tissue (especially by means of computer-assisted analysis of microphotographs)
historiography,The study of the discipline and practice of history and the writings of past historians
history,The branch of knowledge that studies the past; the assessment of notable events
hodology,The study of pathways.
hodology,The study of interconnected ideas.
hodology,The study of paths.
home economics,"The study of homemaking, including cookery, needlework, cleaning etc"
homeokinetics,The study of complex systems.
hoplology,"The study of the methods, behaviour, and technology involved in human combat, particularly weapons and armour"
horology,"The study of time, and the art, science and technology of timekeeping and timekeepers (such as clocks, watches and sundials)."
human-computer interaction,The study of interaction between people and computers.
human geography,The branch of geography that studies the relationships between the physical environment and the activities of humans.
humanism,The study of the humanities or the liberal arts; literary (especially classical) scholarship
hydrobiology,The study of the biology of the organisms that inhabit bodies of water.
hydroclimatology,The study of hydroclimate.
hydroecology,The study of support systems in wetlands such as the interactions between water and wildlife habitats
hydrogeomorphology,The study of landforms created or modified by water
hydroinformatics,The branch of computer science dealing with water management
hydrokinetics,The branch of physics concerned with the movement of fluids
hydrology,"The science of the properties, distribution, and effects of water on a planet's surface, in the soil and underlying rocks, and in the atmosphere"
hydrometeorology,"The branch of meteorology that studies the occurrence, movement and changes of state of water in the atmosphere."
hydrometry,"The branch of hydrostatics dealing with the measurement of specific gravity using hydrometers 2007, Benaiah Yongo-Bure, Economic Development of Southern Sudan, page 90:A thorough understanding of the hydrometry and meteorology of the South is a long-term goal, and immediate steps must be taken to achieve it."
hydronautics,"The science of the design and construction of ships, their engines, and their instrumentation"
hydropedology,The study of the connections between the hydrosphere and the pedosphere.
hydrophytology,The branch of botany that deals with water plants.
hygiene,"The science of health, its promotion and preservation."
hygienics,The science of hygiene
hygiology,The science of the preservation of health.
hyletics,The study of matter or raw impressions of an intentional act; the abstraction from the form.
hymnology,The study of hymns; hymnody.
Japanology,"The study of Japan, its language, culture and history"
Hispanism,The study of the Spanish language or culture.
