Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology
100065,synastry,Noun,concurrence of the position or influence of stars, astrology,,False,False,False,False,False,False,False,True
101529,syzygy,Noun,"A kind of unity, namely an alignment of three celestial bodies (for example, the Sun, Earth, and Moon) such that one body is directly between the other two, such as occurs at an eclipse."," astronomy, astrology",,False,False,False,False,False,False,False,True
11252,figure,Noun,A horoscope; the diagram of the aspects of the astrological houses, astrology,(Can we find and add a quotation of Johnson to this entry?),False,False,False,False,False,False,False,True
13590,fire sign,Noun,"Any of the three star signs Aries, Leo and Sagittarius.", astrology,,False,False,False,False,False,False,False,True
1206,Sagittarian,Adjective,"Of, or pertaining to, the Sagittarius star sign.", astrology,,False,False,False,False,False,False,False,True
1207,Sagittarian,Noun,Someone with the Sagittarius star sign., astrology,,False,False,False,False,False,False,False,True
2178,Scorpion,Adjective,"of, or pertaining to, the Scorpio star sign", astrology,,False,False,False,False,False,False,False,True
2179,Scorpionic,Adjective,Of or relating to Scorpio., astrology,,False,False,False,False,False,False,False,True
5228,SuperMoon,Noun,Alternative form of supermoon, astrology,,False,False,False,False,False,False,False,True
5230,Super Moon,Noun,Alternative form of supermoon, astrology,,False,False,False,False,False,False,False,True
5238,Supermoon,Noun,Alternative form of supermoon," astrology, astronomy",,False,False,False,False,False,False,False,True
5356,malefic,Noun,a malefic planet, astrology,,False,False,False,False,False,False,False,True
5357,malefic planet,Noun,A planet thought to bring bad luck to those born within its radius, astrology,,False,False,False,False,False,False,False,True
13055,matutine,Adjective,Before the sun (of the rising of a planet or star); that rises before the sun (of a planet or star), astrology,"1817, Ebenezer Sibly, The New and Complete Illustration of the Celestial Science of Astrology, Volume 2, Revised Edition, 1822 printing, page 1031, If, at the time of the matutine etting of the Dolphin, there be howers, there will be none at the riing of Arcturus. [] The matutine riing of the greater Dog begetteth heat, troubleth the eas, and changeth all things. 1975, Julius Firmicus Maternus], Jean Rhys Bram (translator), Ancient Astrology Theory And Practice: Matheseos libri VIII, page 39, Matutine planets are those which in their rising precede the Sun. [] We must also know in what conditions the matutine star rejoices and in what the vespertine star rejoices, for they are protected in a favorable position whenever they precede the Sun. 1990, George Noonan, Fixed Stars and Judicial Astrology, page 14, The star indicates much trouble for the native in whose chart it is matutine rising or setting, but if the aspect is matutine culmination Arcturus brings riches and honor.",False,False,False,False,False,False,False,True
19270,mercurial,Noun,"A person born under the influence of the planet Mercury; hence, a person having an animated, lively, quick-witted or volatile character", astrology,"[from 16th c.] 1622, Francis, Lord Verulam, Viscount St. Alban [i.e. Francis Bacon], The Historie of the Raigne of King Henry the Seventh,[], London: Printed by W[illiam] Stansby for Matthew Lownes, and William Barret, OCLC 1086746628, pages 112113:As for [Lambert] Simnell, there was not much in him, more then that hee was a handome Boy, and did not hame his Robes. But this Youth (of whom wee are now to peake) was uch a Mercuriall, as the like hath eldome beene knowne; and could make his owne part, if at any time hee chanced to bee out.",False,False,False,False,False,False,False,True
